id,name,popularity,explicit,artists,id_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
31qCy5ZaophVA81wtlwLc4,Anyone,90,0,'Justin Bieber','1uNFoZAHBGtllmzznpCI3s',0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4,191.0
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),90,0,"'Dua Lipa', 'DaBaby'","'6M2wZ9GZgrQXHCFfjv46we', '4r63FhuTkUYltbVAg5TQnk'",0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4,203.0
6fRxMU4LWwyaSSowV441IU,Beautiful Mistakes (feat. Megan Thee Stallion),90,0,"'Maroon 5', 'Megan Thee Stallion'","'04gDigrS5kc9YWfZHwBETP', '181bsRPaVXVlUKXrxwZfHK'",0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,4,227.0
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,90,0,'Ava Max','4npEfmQ6YuiwW1GpUmaq3F',0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001,4,175.0
079Ey5uxL04AKPQgVQwx5h,Baila Conmigo (with Rauw Alejandro),90,0,"'Selena Gomez', 'Rauw Alejandro'","'0C8ZW7ezQVs4URX5aX7Kqx', '1mcTU81TzQhprhouKaTkpq'",0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,4,186.0
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,90,0,'Lewis Capaldi','4GNC7GD6oZMSxPGyXy4MNB',0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4,182.0
43PGPuHIlVOc04jrZVh9L6,RAPSTAR,89,1,'Polo G','6AgTAQt8XS6jRWi4sX7w49',0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,4,166.0
2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,89,0,'Israel & Rodolffo','41QLxRXlc2NwfJZkHGHKid',0.606,0.908,6,-6.201,0,0.0565,0.556,0.0,0.19,0.798,171.966,4,141.0
1Xi84slp6FryDSCbzq4UCD,Arcade,89,0,'Duncan Laurence','3klZnJvYGIbWritVwQD434',0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,3,184.0
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),89,0,"'Billie Eilish', 'Khalid'","'6qqNVTkY8uBg9cP3Jd7DAH', '6LuN9FCkKOj5PcnpouEgny'",0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,4,200.0
21jGcNKet2qwijlDFuPiPb,Circles,89,0,'Post Malone','246dkjvS1zLTtiykXe5h60',0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,215.0
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),89,1,"'Drake', 'Lil Baby'","'3TVXtAsR1Inumwj472S9r4', '5f7VJjfbwm532GiveGC0ZK'",0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,4,193.0
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),89,0,"'Powfu', 'beabadoobee'","'6bmlMHgSheBauioMgKv2tn', '35l9BRT7MXmM8bv2WDQiyB'",0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,173.0
20McUFi8KCIVdNDLrkTDuZ,Goosebumps,89,1,'HVME','2o08sCWF5yyo2G4DCiT7T9',0.767,0.659,1,-7.429,1,0.0444,0.325,0.0,0.13,0.439,124.946,4,163.0
6zFMeegAMYQo0mt8rXtrli,HOLIDAY,89,1,'Lil Nas X','7jVv8c5Fj3E9VhNjxT4snq',0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,4,155.0
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,89,1,'CJ','7arQA31aZVS8yS6zUveWzb',0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,4,123.0
249gnXrbfmV8NG6jTEMSwD,Life Goes On,89,0,'BTS','3Nrfpe0tUJi4K4DXYWgMUX',0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,4,207.0
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),89,0,"'Dua Lipa', 'DaBaby'","'6M2wZ9GZgrQXHCFfjv46we', '4r63FhuTkUYltbVAg5TQnk'",0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4,203.0
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),89,1,"'Pop Smoke', 'Lil Baby', 'DaBaby'","'0eDvMgVFoNV3TpwtrVCoTj', '5f7VJjfbwm532GiveGC0ZK', '4r63FhuTkUYltbVAg5TQnk'",0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,4,190.0
